2025-10-07 13:00:01.666 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.8239 ms
2025-10-07 13:00:03.821 +01:00 [INF] HTTP GET /UserManagement responded 200 in 74.9074 ms
2025-10-07 13:00:04.071 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.7216 ms
2025-10-07 13:00:14.750 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.5815 ms
2025-10-07 13:00:20.409 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.1039 ms
2025-10-07 13:01:01.069 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 67.8280 ms
2025-10-07 13:01:01.375 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.8717 ms
2025-10-07 13:01:05.883 +01:00 [INF] HTTP GET /Imaging/Details responded 200 in 49.1156 ms
2025-10-07 13:01:07.885 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.2163 ms
2025-10-07 13:01:15.751 +01:00 [INF] HTTP GET /Assets responded 200 in 99.8267 ms
2025-10-07 13:01:15.943 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.6999 ms
2025-10-07 13:01:24.097 +01:00 [INF] HTTP GET /UserManagement responded 200 in 38.2106 ms
2025-10-07 13:01:24.341 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.7662 ms
2025-10-07 13:02:31.974 +01:00 [INF] HTTP GET /RoleManagement responded 200 in 32.6944 ms
2025-10-07 13:02:32.232 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.5851 ms
2025-10-07 13:05:03.103 +01:00 [INF] HTTP GET /RoleManagement responded 200 in 26.7441 ms
2025-10-07 13:05:03.404 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.6351 ms
2025-10-07 13:05:04.662 +01:00 [INF] HTTP GET /RoleManagement/Create responded 200 in 38.8188 ms
2025-10-07 13:05:05.624 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.9911 ms
2025-10-07 13:05:30.371 +01:00 [INF] Asset Management Dashboard accessed
2025-10-07 13:05:30.410 +01:00 [INF] HTTP GET / responded 200 in 41.3369 ms
2025-10-07 13:05:30.615 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.6679 ms
2025-10-07 13:05:34.835 +01:00 [INF] HTTP GET /Departments responded 200 in 25.7864 ms
2025-10-07 13:05:35.072 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.6021 ms
2025-10-07 13:05:49.902 +01:00 [INF] HTTP GET /api/search responded 404 in 0.9425 ms
2025-10-07 13:05:53.266 +01:00 [INF] HTTP GET /api/search responded 404 in 2.4917 ms
2025-10-07 13:05:53.681 +01:00 [INF] HTTP GET /api/search responded 404 in 0.6716 ms
2025-10-07 13:05:58.081 +01:00 [INF] HTTP GET /api/search responded 404 in 0.8499 ms
2025-10-07 13:05:59.438 +01:00 [INF] HTTP GET /api/search responded 404 in 0.4377 ms
2025-10-07 13:06:41.848 +01:00 [INF] HTTP GET /api/notifications responded 200 in 65.9576 ms
2025-10-07 13:10:35.828 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0662 ms
2025-10-07 16:25:45.930 +01:00 [INF] Starting BuildOne Asset Management System
2025-10-07 16:25:51.427 +01:00 [INF] Database initialized successfully
2025-10-07 16:25:51.441 +01:00 [INF] BuildOne started successfully
2025-10-07 16:25:55.457 +01:00 [WRN] Failed to determine the https port for redirect.
2025-10-07 16:25:56.703 +01:00 [INF] HTTP GET /Departments responded 200 in 1243.6207 ms
2025-10-07 16:25:57.235 +01:00 [INF] HTTP GET /api/notifications responded 200 in 66.4827 ms
2025-10-07 16:26:01.984 +01:00 [INF] Asset Management Dashboard accessed
2025-10-07 16:26:02.612 +01:00 [INF] HTTP GET / responded 200 in 742.9671 ms
2025-10-07 16:26:02.841 +01:00 [INF] HTTP GET /api/notifications responded 200 in 6.2117 ms
2025-10-07 16:26:06.282 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 329.9919 ms
2025-10-07 16:26:06.662 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.2083 ms
2025-10-07 16:26:18.235 +01:00 [INF] Asset Management Dashboard accessed
2025-10-07 16:26:18.257 +01:00 [INF] HTTP GET / responded 200 in 38.9162 ms
2025-10-07 16:26:18.473 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0432 ms
2025-10-07 16:26:22.528 +01:00 [INF] Asset Management Dashboard accessed
2025-10-07 16:26:22.547 +01:00 [INF] HTTP GET / responded 200 in 49.0222 ms
2025-10-07 16:26:22.783 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.8101 ms
2025-10-07 16:26:23.933 +01:00 [INF] Asset Management Dashboard accessed
2025-10-07 16:26:23.949 +01:00 [INF] HTTP GET / responded 200 in 17.2143 ms
2025-10-07 16:26:24.133 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.1184 ms
2025-10-07 16:26:26.729 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 23.1573 ms
2025-10-07 16:26:26.912 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0088 ms
2025-10-07 16:26:34.630 +01:00 [INF] HTTP GET /UserManagement responded 200 in 181.2656 ms
2025-10-07 16:26:34.848 +01:00 [INF] HTTP GET /api/notifications responded 200 in 2.7875 ms
2025-10-07 16:34:16.146 +01:00 [INF] Starting BuildOne Asset Management System
2025-10-07 16:34:17.776 +01:00 [INF] Database initialized successfully
2025-10-07 16:34:17.780 +01:00 [INF] BuildOne started successfully
2025-10-07 16:46:23.344 +01:00 [INF] Starting BuildOne Asset Management System
2025-10-07 16:46:25.003 +01:00 [INF] Database initialized successfully
2025-10-07 16:46:25.012 +01:00 [INF] BuildOne started successfully
2025-10-07 16:46:54.674 +01:00 [WRN] Failed to determine the https port for redirect.
